iter	RMSE
965	12460.32554
966	12451.84373
967	12442.31025
968	12432.31668
969	12423.68882
970	12413.83992
971	12408.31875
972	12403.67263
973	12395.69017
974	12392.57195
975	12389.51187
976	12382.48779
977	12373.29393
978	12367.00969
979	12358.35765
980	12348.05193
981	12347.14172
982	12342.50774
983	12338.9839
984	12328.70744
985	12325.61889
986	12324.92777
987	12317.9686
988	12313.24773
989	12304.49617
990	12303.79981
991	12299.52693
992	12298.85944
993	12292.99581
994	12287.69296
995	12278.02362
996	12273.75287
997	12269.02295
998	12263.04712
999	12257.86601
1000	12253.18283
1001	12244.9477
1002	12241.54701
1003	12234.05866
1004	12229.33207
1005	12219.96508
1006	12211.46191
1007	12201.59911
1008	12194.33154
1009	12187.13605
1010	12180.09434
1011	12166.79778
1012	12163.67382
1013	12158.12263
1014	12153.40652
1015	12149.72325
1016	12137.97193
1017	12133.74162
1018	12126.65871
1019	12117.4599
1020	12113.08077
1021	12112.43233
1022	12107.49771
1023	12104.61361
1024	12100.52186
1025	12093.57245
1026	12088.02056
1027	12084.06412
1028	12076.28531
1029	12071.65549
1030	12066.34956
1031	12063.03777
1032	12055.58142
1033	12052.7435
1034	12047.79469
1035	12045.29083
1036	12039.41226
1037	12035.06462
1038	12026.9358
1039	12020.78832
1040	12016.50805
1041	12010.75164
1042	12005.672
1043	11998.29328
1044	11987.21567
1045	11986.4203
1046	11981.32659
1047	11973.82598
1048	11970.07528
1049	11965.8683
1050	11965.24454
1051	11961.75902
1052	11957.782
1053	11957.17446
1054	11948.2917
1055	11947.53107
1056	11943.35331
1057	11933.14908
1058	11928.8349
1059	11925.09922
1060	11916.09936
1061	11909.88979
1062	11906.66349
1063	11902.32829
1064	11897.36434
1065	11891.06233
1066	11884.99935
1067	11880.29747
1068	11871.27919
1069	11863.894
1070	11858.1857
1071	11849.25954
1072	11843.09063
1073	11839.37349
1074	11833.70044
1075	11830.9393
1076	11827.76776
1077	11821.89867
1078	11818.4317
1079	11814.27406
1080	11809.37711
1081	11801.77771
1082	11797.62425
1083	11795.59242
1084	11788.10708
1085	11783.08056
1086	11777.71422
1087	11770.96835
1088	11757.19883
1089	11756.61635
1090	11752.07662
1091	11745.16245
1092	11733.46304
1093	11729.46329
1094	11723.0803
1095	11716.68314
1096	11708.84334
1097	11705.17189
1098	11699.75173
1099	11693.95707
1100	11681.14055
1101	11675.66964
1102	11670.79242
1103	11661.61435
1104	11653.16848
1105	11649.55794
1106	11645.18074
1107	11639.83679
1108	11634.09226
1109	11631.70766
1110	11624.5473
1111	11620.5206
1112	11618.17317
1113	11609.46011
1114	11601.38148
1115	11597.98176
1116	11591.18529
1117	11585.31771
1118	11580.34238
1119	11572.64287
1120	11559.02106
1121	11553.13378
1122	11550.17793
1123	11545.27446
1124	11537.25434
1125	11531.43358
1126	11529.1257
1127	11524.16372
1128	11519.78042
1129	11513.08606
1130	11508.5673
1131	11507.89916
1132	11501.43041
1133	11497.5896
1134	11488.99003
1135	11482.56571
1136	11474.07786
1137	11467.75194
1138	11463.24743
1139	11459.98447
1140	11459.12323
1141	11455.09657
1142	11450.25989
1143	11442.42751
1144	11435.48983
1145	11434.83208
1146	11429.91911
1147	11423.35455
1148	11418.2509
1149	11410.46643
1150	11402.26051
1151	11398.7298
1152	11395.58344
1153	11390.91189
1154	11384.43792
1155	11379.80086
1156	11379.15799
1157	11374.53658
1158	11371.16263
1159	11364.43671
1160	11359.56461
1161	11353.56058
1162	11347.25094
1163	11346.63387
1164	11340.38413
1165	11335.0147
1166	11330.9376
1167	11327.75747
1168	11325.66518
1169	11322.11591
1170	11311.67002
1171	11308.45348
1172	11305.70549
1173	11302.81195
1174	11298.02434
1175	11297.10198
1176	11288.90467
1177	11286.02582
1178	11279.97435
1179	11275.90073
1180	11268.24459
1181	11262.06359
1182	11255.43836
1183	11249.77519
1184	11241.87583
1185	11241.09852
1186	11235.971
1187	11228.5123
1188	11224.697
1189	11218.99636
1190	11215.82376
1191	11215.28987
1192	11208.89445
1193	11208.28366
1194	11207.68804
1195	11201.78279
1196	11197.41149
1197	11190.02674
1198	11186.27592
1199	11184.58108
1200	11178.8988
1201	11169.71738
1202	11163.92503
1203	11157.12078
1204	11154.79622
1205	11150.71496
1206	11142.81224
1207	11142.22285
1208	11135.20286
1209	11128.1115
1210	11120.48585
1211	11111.45106
1212	11104.0192
1213	11097.51849
1214	11094.77909
1215	11092.64252
1216	11088.50784
1217	11083.49879
1218	11079.00374
1219	11072.55435
1220	11066.92571
1221	11062.38938
1222	11057.32531
1223	11053.88825
1224	11048.85244
1225	11042.24063
1226	11039.53899
1227	11036.03487
1228	11033.03168
1229	11027.16116
1230	11026.51851
1231	11020.3752
1232	11014.9756
1233	11011.56261
1234	11008.55347
1235	10999.69435
1236	10993.42064
1237	10989.12487
1238	10981.62083
1239	10975.26945
1240	10972.42374
1241	10968.15596
1242	10963.59435
1243	10960.11586
1244	10956.92637
